dataset,file,query,ref
HPRC,datasets/HPRC/HG02055_1.bed,HG02055_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02055_2.bed,HG02055_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02080_1.bed,HG02080_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02080_2.bed,HG02080_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02109_1.bed,HG02109_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02109_2.bed,HG02109_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02145_1.bed,HG02145_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02145_2.bed,HG02145_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02148_1.bed,HG02148_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02148_2.bed,HG02148_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02257_1.bed,HG02257_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02257_2.bed,HG02257_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02486_1.bed,HG02486_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02486_2.bed,HG02486_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02559_1.bed,HG02559_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02559_2.bed,HG02559_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02572_1.bed,HG02572_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02572_2.bed,HG02572_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02622_1.bed,HG02622_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02622_2.bed,HG02622_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02630_1.bed,HG02630_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02630_2.bed,HG02630_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02717_1.bed,HG02717_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02717_2.bed,HG02717_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02723_1.bed,HG02723_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02723_2.bed,HG02723_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02818_1.bed,HG02818_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02818_2.bed,HG02818_2,CHM13_v1.1
HPRC,datasets/HPRC/HG02886_1.bed,HG02886_1,CHM13_v1.1
HPRC,datasets/HPRC/HG02886_2.bed,HG02886_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03098_1.bed,HG03098_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03098_2.bed,HG03098_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03125_1.bed,HG03125_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03125_2.bed,HG03125_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03453_1.bed,HG03453_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03453_2.bed,HG03453_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03486_1.bed,HG03486_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03486_2.bed,HG03486_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03492_1.bed,HG03492_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03492_2.bed,HG03492_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03516_1.bed,HG03516_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03516_2.bed,HG03516_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03540_1.bed,HG03540_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03540_2.bed,HG03540_2,CHM13_v1.1
HPRC,datasets/HPRC/HG03579_1.bed,HG03579_1,CHM13_v1.1
HPRC,datasets/HPRC/HG03579_2.bed,HG03579_2,CHM13_v1.1
HPRC,datasets/HPRC/NA12878_1.bed,NA12878_1,CHM13_v1.1
HPRC,datasets/HPRC/NA12878_2.bed,NA12878_2,CHM13_v1.1
HPRC,datasets/HPRC/NA18906_1.bed,NA18906_1,CHM13_v1.1
HPRC,datasets/HPRC/NA18906_2.bed,NA18906_2,CHM13_v1.1
HPRC,datasets/HPRC/NA19240_1.bed,NA19240_1,CHM13_v1.1
HPRC,datasets/HPRC/NA19240_2.bed,NA19240_2,CHM13_v1.1
HPRC,datasets/HPRC/NA20129_1.bed,NA20129_1,CHM13_v1.1
HPRC,datasets/HPRC/NA20129_2.bed,NA20129_2,CHM13_v1.1
HPRC,datasets/HPRC/NA21309_1.bed,NA21309_1,CHM13_v1.1
HPRC,datasets/HPRC/NA21309_2.bed,NA21309_2,CHM13_v1.1
t2t-liftover,datasets/t2t-liftover-tables/grch38_masked-chm13v2-split.paf.SafFire.trim.double.bed,T2T-CHM13v2_1,GRCh38
t2t-liftover,datasets/t2t-liftover-tables/hg19-chm13v2.paf.SafFire.simple.bed,T2T-CHM13v2_1,hg19
NHP,datasets/NHP/Bonobo/chm13_v1.0_h1.paf.stats.bed,Bonobo_h1_Mhudiblu_PPA,CHM13_v1.0
NHP,datasets/NHP/Bonobo/chm13_v1.0_h2.paf.stats.bed,Bonobo_h2_Mhudiblu_PPA,CHM13_v1.0
NHP,datasets/NHP/Chimpanzee/chm13_v1.0_h1.paf.stats.bed,Chimpanzee_h1_Clint_PTR,CHM13_v1.0
NHP,datasets/NHP/Chimpanzee/chm13_v1.0_h2.paf.stats.bed,Chimpanzee_h2_Clint_PTR,CHM13_v1.0
NHP,datasets/NHP/Gibbon/chm13_v1.0_h1.paf.stats.bed,Gibbon_h1_Asia_NLE,CHM13_v1.0
NHP,datasets/NHP/Gibbon/chm13_v1.0_h2.paf.stats.bed,Gibbon_h2_Asia_NLE,CHM13_v1.0
NHP,datasets/NHP/Gorilla/chm13_v1.0_h1.paf.stats.bed,Gorilla_h1_Kamilah_GGO,CHM13_v1.0
NHP,datasets/NHP/Gorilla/chm13_v1.0_h2.paf.stats.bed,Gorilla_h2_Kamilah_GGO,CHM13_v1.0
NHP,datasets/NHP/Macaque_indian/chm13_v1.0_h1.paf.stats.bed,Macaque_h1_AG07107_MMU,CHM13_v1.0
NHP,datasets/NHP/Macaque_indian/chm13_v1.0_h2.paf.stats.bed,Macaque_h2_AG07107_MMU,CHM13_v1.0
NHP,datasets/NHP/Marmoset/Marmoset_h1.paf.stats.bed,Marmoset_h1_CJ1700_CJA,CHM13_v1.0
NHP,datasets/NHP/Marmoset/Marmoset_h2.paf.stats.bed,Marmoset_h2_CJ1700_CJA,CHM13_v1.0
NHP,datasets/NHP/Orangutan/chm13_v1.0_h1.paf.stats.bed,Orangutan_h1_Susie_PAB,CHM13_v1.0
NHP,datasets/NHP/Orangutan/chm13_v1.0_h2.paf.stats.bed,Orangutan_h2_Susie_PAB,CHM13_v1.0
NHP,datasets/NHP/OWL_monkey/OWLmonkey_h1.paf.stats.bed,OWLmonkey_h1_86718_ANA,CHM13_v1.0
NHP,datasets/NHP/OWL_monkey/OWLmonkey_h2.paf.stats.bed,OWLmonkey_h2_86718_ANA,CHM13_v1.0
fiberseq,datasets/fiberseq/GM08714_1.bed,GM08714_1,CHM13_v1.1
fiberseq,datasets/fiberseq/GM08714_2.bed,GM08714_2,CHM13_v1.1
fiberseq,datasets/fiberseq/GM12878v0.1.0_scaffold_1.bed,GM12878v0.1.0_1,GRCh38
fiberseq,datasets/fiberseq/GM12878v0.1.0_scaffold_2.bed,GM12878v0.1.0_2,GRCh38
fiberseq,datasets/fiberseq/T2Tv2.0/GM12878v0.1.0_scaffold_1.bed,GM12878v0.1.0_1,CHM13_v1.1
fiberseq,datasets/fiberseq/T2Tv2.0/GM12878v0.1.0_scaffold_2.bed,GM12878v0.1.0_2,CHM13_v1.1
fiberseq,datasets/fiberseq/T2Tv2.0/PS00401_hap1.bed,PS00401_hap1,CHM13_v1.1
fiberseq,datasets/fiberseq/T2Tv2.0/PS00401_hap2.bed,PS00401_hap2,CHM13_v1.1
